"","dt","temp","humi","pm10","sales2"
"1045","20171111",5.90000009536743,42.9000015258789,59,140
"1046","20171112",5.30000019073486,57.0999984741211,29,121
"1047","20171113",8.39999961853027,64.4000015258789,39,130
"1048","20171114",7.5,42.5,42,140
"1049","20171115",3.20000004768372,38.2999992370605,23,134
"1050","20171116",1,30.2999992370605,23,122
"1051","20171117",3,39.4000015258789,39,127
"1052","20171118",-2.09999990463257,38.5,37,138
"1053","20171119",-1.60000002384186,37.7999992370605,23,143
"1054","20171120",-0.400000005960464,55.2999992370605,35,131
"1055","20171121",1.29999995231628,55.5999984741211,47,132
"1056","20171122",4.30000019073486,54.7999992370605,63,131
"1057","20171123",0.899999976158142,49.2999992370605,21,135
"1058","20171124",-0.400000005960464,62.5,18,138
"1059","20171125",3,77.5999984741211,25,135
"1060","20171126",3.29999995231628,71.5999984741211,39,136
"1061","20171127",2.5,53,45,123
"1062","20171128",6.40000009536743,64.0999984741211,71,129
"1063","20171129",3.20000004768372,48.2999992370605,55,133
"1064","20171130",-2.40000009536743,26.7999992370605,21,129
"1065","20171201",-2.20000004768372,49.4000015258789,21,129
"1066","20171202",1.89999997615814,59.9000015258789,35,122
"1067","20171203",4.90000009536743,83.0999984741211,48,124
"1068","20171204",-1.20000004768372,48.0999984741211,38,128
"1069","20171205",-4.19999980926514,40.0999984741211,19,128
"1070","20171206",0.200000002980232,72.5999984741211,32,123
"1071","20171207",0.699999988079071,64.5,42,134
"1072","20171208",-3.79999995231628,41.2999992370605,28,126
"1073","20171209",-0.5,46.0999984741211,36,131
"1074","20171210",1.10000002384186,67.9000015258789,37,119
"1075","20171211",-7,40.5,36,134
"1076","20171212",-9.39999961853027,41.9000015258789,28,137
"1077","20171213",-8.69999980926514,42,30,133
"1078","20171214",-6.59999990463257,42.9000015258789,48,139
"1079","20171215",-3,52.5999984741211,73,129
"1080","20171216",-5.69999980926514,43.0999984741211,36,129
"1081","20171217",-6.69999980926514,38.0999984741211,31,134
"1082","20171218",-1.60000002384186,80,57,132
"1083","20171219",-3.90000009536743,49.4000015258789,42,134
"1084","20171220",-3.90000009536743,68,42,130
"1085","20171221",-0.899999976158142,71.4000015258789,48,124
"1086","20171222",3.40000009536743,66.5999984741211,55,125
"1087","20171223",6.09999990463257,75.8000030517578,99,132
"1088","20171224",2.90000009536743,82,69,208
"1089","20171225",-2.09999990463257,43.0999984741211,23,198
"1090","20171226",-3.79999995231628,41.7999992370605,22,119
"1091","20171227",-6.90000009536743,31.3999996185303,23,123
"1092","20171228",-2.09999990463257,47,35,139
"1093","20171229",2.09999990463257,67,81,129
"1094","20171230",1.39999997615814,79.5,112,127
"1095","20171231",-0.300000011920929,54.4000015258789,53,125
